Added_Sugars,Alcohol,Calories,Display_Name,Drkgreen_Vegetables,Drybeans_Peas,Factor,Food_Code,Fruits,Grains,Increment,Meats,Milk,Multiplier,Oils,Orange_Vegetables,Other_Vegetables,Portion_Amount,Portion_Default,Portion_Display_Name,Saturated_Fats,Solid_Fats,Soy,Starchy_vegetables,Vegetables,Whole_Grains
0,0,301.644,Roast beef (eat lean & fat),0,0,4,21401110,0,0,1,3.64468,0,0.25,0,0,0,4,2,ounces after cooking,7.75656,99.44726,0,0,0,0
0,0,82.74,Roast beef (eat lean only),0,0,1,21401120,0,0,0.5,1.48134,0,0.5,0,0,0,1,1,medium slice,1.3608,6.37686,0,0,0,0
0,0,124.11,Roast beef (eat lean only),0,0,1,21401120,0,0,0.5,2.22201,0,0.5,0,0,0,1,2,thick slice,2.0412,9.56529,0,0,0,0
0,0,41.37,Roast beef (eat lean only),0,0,1,21401120,0,0,1,0.74067,0,1,0,0,0,1,2,thin slice,0.6804,3.18843,0,0,0,0
0,0,223.398,Roast beef (eat lean only),0,0,4,21401120,0,0,1,4,0,0.25,0,0,0,4,2,ounces after cooking,3.67416,17.21752,0,0,0,0
0,0,96.6,Beef brisket,0,0,1,21417120,0,0,0.5,1.4448,0,0.5,0,0,0,1,1,"medium slice, 1/4 "" thick",1.7346,9.53316,0,0,0,0
0,0,144.9,Beef brisket,0,0,1,21417120,0,0,0.5,2.1672,0,0.5,0,0,0,1,2,thick slice,2.6019,14.29974,0,0,0,0
0,0,48.3,Beef brisket,0,0,1,21417120,0,0,1,0.7224,0,1,0,0,0,1,2,thin slice,0.8673,4.76658,0,0,0,0
0,0,211.6,Beef brisket,0,0,4,21417120,0,0,1,4,0,0.25,0,0,0,4,2,ounces after cooking,3.7996,20.88216,0,0,0,0
0,0,234.6,"Ground beef (75% lean, regular)",0,0,1,21501000,0,0,0.5,2.6911,0,0.5,0,0,0,1,1,medium patty (4 per pound),6.137,79.0704,0,0,0,0
0,0,77.28,"Ground beef (75% lean, regular)",0,0,1,21501000,0,0,1,0.88648,0,1,0,0,0,1,2,ounce after cooking,2.0216,26.04672,0,0,0,0
0,0,57.96,"Ground beef (75% lean, regular)",0,0,1,21501000,0,0,1,0.66486,0,1,0,0,0,1,2,ounce raw (cooked yield),1.5162,19.53504,0,0,0,0
0,0,311.88,"Ground beef (75% lean, regular)",0,0,1,21501000,0,0,0.5,3.57758,0,0.5,0,0,0,1,2,large patty (3 per pound),8.1586,105.11712,0,0,0,0
0,0,77.28,"Ground beef (75% lean, regular)",0,0,1,21501000,0,0,1,0.88648,0,1,0,0,0,1,2,medium meatball,2.0216,26.04672,0,0,0,0
0,0,187.68,"Ground beef (75% lean, regular)",0,0,1,21501000,0,0,0.5,2.15288,0,0.5,0,0,0,1,2,small patty (5 per pound),4.9096,63.25632,0,0,0,0
0,0,236.72,Ground beef (80% lean),0,0,1,21501200,0,0,0.5,2.81688,0,0.5,0,0,0,1,1,medium patty (4 per pound),5.8872,73.91736,0,0,0,0
171.70839,0,228.79,Low fat ice cream,0,0,1,13160410,0,0.72199,0.25,0.2329,0.35894,0.25,0,0,0,1,1,cup,0.822,11.61486,0,0,0,0
28.58916,0,105.3,Diet pudding (instant or canned),0,0,0.5,13210250,0,0.4901,0.25,0,0.4498,0.5,0.00087,0,0,0.5,1,cup (4 fl oz),0.754,10.0269,0,0,0,0
57.78004,0,133.11,Pudding (instant or canned),0,0,0.5,13210280,0,0.24665,0.25,0,0.45023,0.5,0,0,0,0.5,1,cup (4 fl oz),1.34415,19.00341,0,0,0,0
0,0,81.25,"Pudding, no sugar added",0,0,0.5,13220220,0,0.54125,0.25,0,0.47375,0.5,0.00625,0,0,0.5,1,cup (4 fl oz),1.1525,1.72125,0,0,0,0
0,0,90.625,White sauce (cream sauce),0,0,0.25,13411000,0,0.23438,0.25,0,0.24,1,0,0,0,0.25,1,cup,1.7125,58.13437,0,0,0,0
0,0,88.125,Milk gravy,0,0,0.25,13412000,0,0.195,0.25,0,0.24938,1,0,0,0,0.25,1,cup,2.775,56.5425,0,0,0,0
0,0,114.2505,"Cheese (cheddar, Swiss)",0,0,1,14104010,0,0,0.5,0,0.66679,0.5,0,0,0,1,1,slice (slice = 1 oz),5.97902,83.35751,0,0,0,0
8.22,0,290,Grilled cheese sandwich,0,0,1,14640100,0,2.036,0.5,0,0.49,0.5,0.27,0,0,1,1,sandwich,5.978,125.974,0,0,0,0
0,0,28.56,"Turkey lunch meat, fat free",0,0,0.5,7258,0,0,1,0.9884,0,1,0,0,0,1,1,ounce,0.06552,0,0,0,0,0
0,0,14.2,Coffee,0,0,1,92101000,0,0,0.5,0,0,0.5,0,0,0,1,2,fast food (16 fl oz order),0,0,0,0,0,0
0,0,142.8,Latte,0,0,1,92101900,0,0,0.5,0,1.07304,0.5,0,0,0,1,1,medium (14 fl oz order),3.3048,45.31248,0,0,0,0
0,0,71.4,Latte,0,0,1,92101900,0,0,0.5,0,0.53652,0.5,0,0,0,1,2,cup,1.6524,22.65624,0,0,0,0
0,0,169.75,Latte,0,0,1,92101900,0,0,0.5,0,1.27555,0.5,0,0,0,1,2,large (17 fl oz order),3.9285,53.8641,0,0,0,0
0,0,107.1,Latte,0,0,1,92101900,0,0,0.5,0,0.80478,0.5,0,0,0,1,2,small (11 fl oz order),2.4786,33.98436,0,0,0,0
0,0,160.38,Cappuccino,0,0,1,92161000,0,0,0.5,0,1.01088,0.5,0,0,0,1,1,medium (17 fl oz order),4.5684,70.37766,0,0,0,0
0,0,190.74,Cappuccino,0,0,1,92161000,0,0,0.5,0,1.20224,0.5,0,0,0,1,2,large (20 fl oz order),5.4332,83.70018,0,0,0,0
0,0,79.2,Cappuccino,0,0,1,92161000,0,0,0.5,0,0.4992,0.5,0,0,0,1,2,mug (8 fl oz order),2.256,34.7544,0,0,0,0
0,0,120.45,Cappuccino,0,0,1,92161000,0,0,0.5,0,0.7592,0.5,0,0,0,1,2,small (13 fl oz order),3.431,52.85565,0,0,0,0
0,0,23.52,"Turkey breast lunch meat, fat free",0,0,1,7259,0,0,1,0.9884,0,1,0,0,0,1,1,ounce,0.0574,0,0,0,0,0
0,0,44.1,"Tofu, firm",0,0,0.25,16126,0,0,0.25,0,0,1,0,0,0,0.25,1,cup,0.54369,0,0.99981,0,0,0
0,0,56.7,"Tofu, firm",0,0,1,16126,0,0,0.25,0,0,1,0,0,0,0.25,2,block (3 oz),0.69903,0,1.28547,0,0,0
0,0,168.02,Fried tofu,0,0,0.25,16129,0,0,0.25,0,0,1,1.65609,0,0,0.25,1,cup,1.80916,0,0.98394,0,0,0
0,0,35.23,Fried tofu,0,0,1,16129,0,0,1,0,0,1,0.34724,0,0,1,2,piece,0.37934,0,0.20631,0,0,0
0,0,167.28,Ground beef (95% lean),0,0,1,23559,0,0,0.5,3.6006,0,0.5,0,0,0,1,1,medium patty (4 per pound),2.75196,0,0,0,0,0
0,0,45.92,Ground beef (95% lean),0,0,1,23559,0,0,1,0.9884,0,1,0,0,0,1,2,ounce after cooking,0.75544,0,0,0,0,0
0,0,42.64,Ground beef (95% lean),0,0,1,23559,0,0,1,0.9178,0,1,0,0,0,1,2,ounce raw (cooked yield),0.70148,0,0,0,0,0
0,0,219.76,Ground beef (95% lean),0,0,1,23559,0,0,0.5,4.7302,0,0.5,0,0,0,1,2,large patty (3 per pound),3.61532,0,0,0,0,0
0,0,45.92,Ground beef (95% lean),0,0,1,23559,0,0,1,0.9884,0,1,0,0,0,1,2,medium meatball,0.75544,0,0,0,0,0
0,0,132.84,Ground beef (95% lean),0,0,1,23559,0,0,0.5,2.8593,0,0.5,0,0,0,1,2,small patty (5 per pound),2.18538,0,0,0,0,0
0,0,201.96,Ground beef (90% lean),0,0,1,23564,0,0,0.5,3.43827,0,0.5,0,0,0,1,1,medium patty (4 per pound),4.17582,13.74813,0,0,0,0
0,0,57.12,Ground beef (90% lean),0,0,1,23564,0,0,1,0.97244,0,1,0,0,0,1,2,ounce after cooking,1.18104,3.88836,0,0,0,0
0,0,51,Ground beef (90% lean),0,0,1,23564,0,0,1,0.86825,0,1,0,0,0,1,2,ounce raw (cooked yield),1.0545,3.47175,0,0,0,0
0,0,267.24,Ground beef (90% lean),0,0,1,23564,0,0,0.5,4.54963,0,0.5,0,0,0,1,2,large patty (3 per pound),5.52558,18.19197,0,0,0,0
0,0,57.12,Ground beef (90% lean),0,0,1,23564,0,0,1,0.97244,0,1,0,0,0,1,2,medium meatball,1.18104,3.88836,0,0,0,0
0,0,161.16,Ground beef (90% lean),0,0,1,23564,0,0,0.5,2.74367,0,0.5,0,0,0,1,2,small patty (5 per pound),3.33222,10.97073,0,0,0,0
0,0,146.4,Whole milk,0,0,1,11111000,0,0,0.25,0,1.0004,0.25,0,0,0,1,1,cup,4.5384,69.56928,0,0,0,0
0,0,146.4,Whole milk,0,0,8,11111000,0,0,1,0,1.0004,0.125,0,0,0,8,2,fluid ounces,4.5384,69.56928,0,0,0,0
0,0,122,2% milk (reduced fat),0,0,1,11112110,0,0,0.25,0,1.0004,0.25,0,0,0,1,1,cup,3.0744,41.46048,0,0,0,0
0,0,122,2% milk (reduced fat),0,0,8,11112110,0,0,1,0,1.0004,0.125,0,0,0,8,2,fluid ounces,3.0744,41.46048,0,0,0,0
0,0,102.48,1% milk (low fat),0,0,1,11112210,0,0,0.25,0,1.0004,0.25,0,0,0,1,1,cup,1.5372,19.50048,0,0,0,0
0,0,102.48,1% milk (low fat),0,0,8,11112210,0,0,1,0,1.0004,0.125,0,0,0,8,2,fluid ounces,1.5372,19.50048,0,0,0,0
0,0,83.3,Fat free milk (skim),0,0,1,11113000,0,0,0.25,0,0.9996,0.25,0,0,0,1,1,cup,0.294,0,0,0,0,0
0,0,83.232,Fat free milk (skim),0,0,8,11113000,0,0,1,0,0.99878,0.125,0,0,0,8,2,fluid ounces,0.29376,0,0,0,0,0
0,0,102.48,Low lactose lowfat (1%) milk,0,0,1,11114300,0,0,0.25,0,0.99308,0.25,0,0,0,1,1,cup,1.5372,19.50048,0,0,0,0
0,0,102.48,Low lactose lowfat (1%) milk,0,0,8,11114300,0,0,1,0,0.99308,0.125,0,0,0,8,2,fluid ounces,1.5372,19.50048,0,0,0,0
0,0,83.3,Low lactose fat free (skim) milk,0,0,1,11114320,0,0,0.25,0,0.9996,0.25,0,0,0,1,1,cup,0.294,0,0,0,0,0
0,0,83.232,Low lactose fat free (skim) milk,0,0,8,11114320,0,0,1,0,0.99878,0.125,0,0,0,8,2,fluid ounces,0.29376,0,0,0,0,0
0,0,122,Low lactose reduced fat (2%) milk,0,0,1,11114330,0,0,0.25,0,1.0004,0.25,0,0,0,1,1,cup,3.0744,41.46048,0,0,0,0
0,0,122,Low lactose reduced fat (2%) milk,0,0,8,11114330,0,0,1,0,1.0004,0.125,0,0,0,8,2,fluid ounces,3.0744,41.46048,0,0,0,0
0,0,146.4,Low lactose whole milk,0,0,1,11114350,0,0,0.25,0,1.0004,0.25,0,0,0,1,1,cup,4.5384,69.56928,0,0,0,0
0,0,146.4,Low lactose whole milk,0,0,8,11114350,0,0,1,0,1.0004,0.125,0,0,0,8,2,fluid ounces,4.5384,69.56928,0,0,0,0
0,0,98,Buttermilk,0,0,1,11115000,0,0,0.25,0,0.9996,0.25,0,0,0,1,1,cup,1.3475,17.5959,0,0,0,0
0,0,97.92,Buttermilk,0,0,8,11115000,0,0,1,0,0.99878,0.125,0,0,0,8,2,fluid ounces,1.3464,17.58154,0,0,0,0
0,0,80.85,"Nonfat dry milk, reconstituted",0,0,1,11121300,0,0,0.25,0,0.9996,0.25,0,0,0,1,1,cup,0.1078,0,0,0,0,0
0,0,80.784,"Nonfat dry milk, reconstituted",0,0,8,11121300,0,0,1,0,0.99878,0.125,0,0,0,8,2,fluid ounces,0.10771,0,0,0,0,0
142.93239,0,245.565,Sweetened condensed milk,0,0,0.25,11220000,0,0,0.25,0,0.33966,1,0,0,0,0.25,1,cup,4.19985,59.28674,0,0,0,0
0,0,98,Soymilk,0,0,1,11320000,0,0,0.25,0,0,0.25,0.54771,0,0,1,1,cup,0.5145,0,0.9996,0,0,0
0,0,98,Soymilk,0,0,8,11320000,0,0,1,0,0,0.125,0.54726,0,0,8,2,fluid ounces,0.51408,0,0.99878,0,0,0
37.44922,0,117.6,Flavored soymilk,0,0,1,11321000,0,0,0.25,0,0,0.25,0.38933,0,0,1,1,cup,0.504,3.9096,1.0008,0,0,0
0,0,138.47,"Plain yogurt, whole milk",0,0,1,11411100,0,0,0.25,0,0.92616,0.25,0,0,0,1,1,8 oz container,4.767,64.66095,0,0,0,0
0,0,127.12,"Plain yogurt, fat free",0,0,1,11411300,0,0,0.25,0,0.92616,0.25,0,0,0,1,1,8 oz container,0.2724,1.40967,0,0,0,0
72.09592,0,229.27,"Flavored yogurt, whole milk",0,0,1,11421000,0,0,0.25,0,0.92616,0.25,0,0,0,1,1,8 oz container,4.54,63.1287,0,0,0,0
73.53488,0,192.95,"Flavored yogurt, low fat",0,0,1,11422000,0,0,0.25,0,0.92616,0.25,0,0,0,1,1,8 oz container,1.8387,23.67837,0,0,0,0
0,0,97.61,"Flavored yogurt, fat-free sugar-free",0,0,1,11424000,0,0.00908,0.25,0,0.92616,0.25,0.0005,0,0,1,1,8 oz container,0.2724,2.02257,0,0,0,0
91.2402,0,202.3,"Fruit yogurt, whole milk",0,0,1,11431000,0.0578,0,0.25,0,0.6936,0.25,0,0,0,1,1,6 oz container,3.468,48.2715,0,0,0,0
93.28496,0,173.4,"Fruit yogurt, low fat",0,0,1,11432000,0.0578,0,0.25,0,0.6936,0.25,0,0,0,1,1,6 oz container,1.19,15.0399,0,0,0,0
0,0,86.7,"Fruit yogurt, fat-free sugar-free",0,0,1,11433500,0.1921,0,0.25,0,0.7055,0.25,0,0,0,1,1,6 oz container,0.153,0.765,0,0,0,0
100.64477,0,214,"Frozen yogurt, low fat",0,0,1,11460150,0,0,0.25,0,0.874,0.25,0,0,0,1,1,cup,1.88,24.894,0,0,0,0
